,Country,Social TF Programs,Wealth-ranking,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Region,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy
317,Poland,0,2,2010,5.887029648,10.08564854,0.95506531,67.09999847,0.794900477,-0.000303453,0.904697299,0.685517788,0.234237015,0.333801061,European Union,5.1,6,129.3125,10.07,98,94,26.1,96,99,0.08,10859,38.04,2.1,2.2,12.2,1,0,76.2
29,Bahrain,0,1,2012,5.027186871,10.71521664,0.911349595,65.48000336,0.681822896,,0.437915266,0.559415758,0.380814761,,Middle East,6.8,8,69.438,1.72,99,99,24.9,99,99,0.05,21188,1.3,6.1,6,8.8,0,1,76.3
397,United Arab Emirates,0,1,2010,7.097455502,10.91366577,0.911762357,65.09999847,0.877750754,0.054068744,0.355115891,0.70074904,0.23301357,,Middle East,7.4,8.7,74.296,1.69,94,94,28,94,94,0.13,32535,8.55,5.1,4.9,9.9,0,1,76.3
49,Bosnia and Herzegovina,0,2,2012,4.773144722,9.328819275,0.778859854,67,0.419789314,-0.012839379,0.95342195,0.468601346,0.338240683,0.194952324,Rest of Europe,5.8,6.7,100.353,4.83,92,94,25.5,87,92,0.08,4216,3.6,2.5,2.5,8.3,0,1,76.4
30,Bahrain,0,1,2013,6.689711094,10.75642967,0.883780539,65.72000122,0.809205949,,0.524703264,0.711107612,0.306209415,,Middle East,6.7,7.8,68.52,1.65,99,99,24.9,99,99,0.05,22079,1.32,6.1,6,9,0,1,76.5
398,United Arab Emirates,0,1,2011,7.118701458,10.9352932,0.881368935,65.16000366,0.889463484,0.068592265,,0.701554298,0.215870038,,Middle East,7.2,8.4,72.9945,1.75,95,95,28.1,95,95,0.13,33246,8.95,5.1,4.9,10,0,1,76.5
97,Croatia,0,2,2010,5.595575333,10.10643101,0.796391606,67.30000305,0.564372659,-0.240100384,0.972738981,0.553552032,0.258886874,,European Union,4.7,5.5,101.45,10.71,97,98,26.7,97,97,0.02,11749,4.3,1.6,1.6,10.8,1,0,76.5
270,Montenegro,0,2,2013,5.074341774,9.763175011,0.735565186,66.44000244,0.502264977,-0.177637771,0.69337213,0.493074238,0.331081718,0.392235279,Rest of Europe,4.1,4.9,104.853,9.62,90,94,26.3,94,94,0.03,6203,0.62,1.8,1.9,11.2,0,1,76.5
7,Albania,0,2,2010,5.268936634,9.282613754,0.73315227,67.59999847,0.568958402,-0.171783119,0.726261675,0.576076567,0.300060242,,Rest of Europe,11.8,13.3,80.9365,4.88,99,98,26.1,99,99,0.03,3577,2.91,1.4,1.5,9.3,0,1,76.6
50,Bosnia and Herzegovina,0,2,2013,5.123664379,9.36950016,0.766827762,67,0.39034158,0.041542657,0.969836235,0.489300579,0.314516038,0.1134464,Rest of Europe,5.6,6.5,98.9245,4.69,91,93,25.5,87,89,0.08,4391,3.54,2.4,2.4,8.7,0,1,76.6
